"question","module","answer","type"
Does Odoo PoS require an internet connection for every sale?,Point of Sales,0,
Is the Odoo IoT Box mandatory to use any hardware at all?,Point of Sales,0,
Does Odoo PoS support multiple currencies in a single sale?,Point of Sales,0,
Can you delete a validated and posted PoS order?,Point of Sales,0,
Can you use a single PoS session for two different shops?,Point of Sales,0,
"Does Odoo PoS have a native ""Dark Mode"" setting?",Point of Sales,0,
Can you edit a customer's total debt directly from the PoS UI?,Point of Sales,0,
Is it possible to use Odoo PoS on Internet Explorer 11?,Point of Sales,0,
Can you perform a full inventory stock take inside the PoS UI?,Point of Sales,0,
Can you modify a receipt once it has been printed and closed?,Point of Sales,0,
Does Odoo PoS require a specific proprietary operating system?,Point of Sales,0,
Can a basic cashier bypass a manager's restricted discount?,Point of Sales,0,
Is it possible to book hotel rooms directly through the PoS?,Point of Sales,0,
Can you use the PoS without linking it to a Warehouse?,Point of Sales,0,
Can you delete a session that already contains validated orders?,Point of Sales,0,
Does Odoo PoS support 3D printing of receipts?,Point of Sales,0,
Can you manage complex HR payroll inside the PoS interface?,Point of Sales,0,
Is a physical cash drawer required to open the software?,Point of Sales,0,
Can you process cryptocurrency payments natively without a provider?,Point of Sales,0,
Can two different sessions share one cash drawer simultaneously?,Point of Sales,0,
Can you edit Odoo Accounting journal entries from the PoS UI?,Point of Sales,0,
Does Odoo PoS support automatic stock replenishment orders?,Point of Sales,0,
Can you change the fiscal position after a payment is made?,Point of Sales,0,
Can a cashier create a new tax rate directly from the PoS?,Point of Sales,0,
Is Odoo PoS compatible with legacy serial-only printers?,Point of Sales,0,
Can you use Odoo PoS without a web browser or wrapper app?,Point of Sales,0,
"Does the PoS allow negative stock if the ""Allow"" setting is off?",Point of Sales,0,
Can you process a manufacturer warranty claim in the PoS UI?,Point of Sales,0,
"Does Odoo PoS support ""Flash"" plugin for its interface?",Point of Sales,0,
Can you use the PoS to manage internal warehouse transfers?,Point of Sales,0,
Can you send a physical fax of the receipt from the PoS?,Point of Sales,0,
Is it possible to sell products from a different company's DB?,Point of Sales,0,
Can you use Odoo PoS on a device with no Javascript support?,Point of Sales,0,
Does Odoo PoS support real-time video editing?,Point of Sales,0,
Can you use the PoS to track employee commute GPS data?,Point of Sales,0,
"Does the PoS allow ""On Account"" sales for anonymous guests?",Point of Sales,0,
Can you set a discount higher than 100% in Odoo PoS?,Point of Sales,0,
"Is there a native ""Undo"" button to reverse a closed session?",Point of Sales,0,
Can you change the product cost price from the PoS screen?,Point of Sales,0,
Can you use Odoo PoS to manage social media posts?,Point of Sales,0,
Is it possible to use the PoS without a Product Category?,Point of Sales,0,
Does Odoo PoS include a native integration for Apple Pay Cash?,Point of Sales,0,
Can you process a sale without selecting a Payment Method?,Point of Sales,0,
Can a cashier delete the logs of their own activities?,Point of Sales,0,
Does Odoo PoS support voice-controlled ordering natively?,Point of Sales,0,
Can you use the PoS to calculate complex engineering formulas?,Point of Sales,0,
Does Odoo PoS allow the same session to be open in two tabs?,Point of Sales,0,
Can you use the PoS to manage a company’s legal litigation?,Point of Sales,0,
Does Odoo PoS support direct integration with 1980s scales?,Point of Sales,0,
"Can you bypass the ""Closing Control"" if it is enabled?",Point of Sales,0,
Is Odoo Point of Sale designed for shops and restaurants?,Point of Sales,1,
Can Odoo POS run in a web browser?,Point of Sales,1,
Can Odoo POS work on different devices?,Point of Sales,1,
Can Odoo POS still work during temporary network outages?,Point of Sales,1,
Does Odoo POS support self-ordering?,Point of Sales,1,
Can Odoo POS connect to payment terminals?,Point of Sales,1,
Can Odoo POS use barcode scanners?,Point of Sales,1,
Can Odoo POS connect to cash drawers?,Point of Sales,1,
